word	meaning
Alùminyun	Aluminium
Kilii	Ant
Wanyeeto	Ant eater
Ŋáv	Antelope
Ntóŋ	Anus
Kóoy	Arm
Mvə̀n	Arrow
Wóŋ'	As he, a traditional society
Kimbébíy	Ass
àntsernsai	Ancestors
Ŋgùuy bí’	Mathematics
Nshwáan lóm	Excretory system
Kfə̀v vito	Duodenum
Kito ke ŋkóŋ	Tibia plateau
Bán tù'ur	Alternating current
Mendzəv	Water
Sóŋ	Tooth
Tàr	Father
Yìy	Mother
Wan	Child
Láv	House
Bvəəy lóŋ	Goat
Ná	Cow
Ŋgə̀v	Chicken
Viyikir	Food
Kún	Beans
Koki	Koki beans
Ŋgashiŋa	Cassava
Meŋwə̀ər	Oil
Shiŋgwáŋ	Salt
Ŋwáa	Meeting
Lámnso	Lamnso language
Nso	Nso people
Fon	King
Ŋgaywir	Elder
Ŋwá Nyùy	Bible
Nyùy	God
Bunri	Pray
Lá yè’ey	School
Ŋwà	Book
Kinsáŋ	Pen
Ntáa	Chair
Kitaatí	Table
Dzə̀ə	Road
Kitenten	Car
Yikír	Eat
Nú	Drink
Mbùune	Sleep
Yimén	Wake up
Lim	Work
Kishiiy	Day
Vitsə́	Night
Kiyá	Year
Ŋgwee	Month
Ŋgàm	Week
Monlé	Monday
Cúusidey	Tuesday
Wenesidéy	Wednesday
Tóosidey	Thursday
Fə̀raydey	Friday
Saatudéy	Saturday
Sónlé	Sunday
War	Market
Là shiv	Hospital
Ŋgaa shiv	Doctor
Shív	Medicine
Kitu	Head
Sí'	Eye
Kitù’ur	Ear
Yúuy	Nose
Shuu	Mouth
Kiwó	Hand
Shwíin	Leg
Kitúr	Stomach
Tíim	Heart
Mentsə̀	Blood
Wúm	Egg
Sə̀	Fish
Wúu	Rain
Shúy	Sun
Shijìy	Star
Shwer	Wind
Və́y	Fire
Saamba	Seven
Mve'ey, Sèké	Chaff
Aay	Negative
Abu'ur	Boots (Rain boots)
Abve'ey	Molars
A'kang	Multiplication
A'kang tang	Multiples
Anyur	Onion
Kun vito	Appendix
Báŋ se Ndzèn	Testicles
Bà	Knit
Shingeenge	Smallest
Ba'mshuushiliv	Inferior epigastrium
Banfogháŋ	Side light
Bavkir, Baykir, Nge'	Tickling sensation/Tingling
Báy	to explode
Bè’ey	carrier
Biimbvə̀v	Assets
Biibi	brown color
Biibiy	parasite
Bi' jii	Calculate
Bí’ bey	Logic
Bínen	copy
Réŋfeyi	perfect
Nsáŋti vibooŋi	aesthetic
Bùbá	blouse
Bòjóo	obesity
Fémsí	deceive
Abodí	Bra (breast wear)
Bùu	appetite
Bubú	phone
Bùŋ	red
Bubúu	cheek
Ntam réŋréŋ	square measure
Buubvəm ŋkoovi	Left lower quadrant
Bvə’ən	flex
Bvəybvəəy	eye lashes
Kiwuv ke sí	eyelid
